Q_m3s,overflow_length_m,C_bcw,unit_discharge_m2s,head_m
41.428365,24.285684,1.6999989,1.705876,1.0023034
41.428365,25.71422,1.6999989,1.6111072,0.96482939
41.428365,27.142757,1.6999989,1.5263138,0.93067231
41.428365,28.571293,1.6999989,1.4499997,0.89938609
41.428365,29.999829,1.6999989,1.3809534,0.87060316
44.285475,10.000321,1.6999989,4.4284055,1.8932116
44.285475,11.428857,1.6999989,3.8748822,1.7319682
44.285475,12.857393,1.6999989,3.4443587,1.6011787
44.285475,14.28593,1.6999989,3.0999365,1.4925748
44.285475,15.714466,1.6999989,2.8181343,1.40069
44.285475,17.143002,1.6999989,2.5832975,1.3217536
44.285475,18.571539,1.6999989,2.3845884,1.2530734
44.285475,20.000075,1.6999989,2.2142655,1.1926711
44.285475,21.428611,1.6999989,2.0666517,1.1390578
44.285475,22.857148,1.6999989,1.9374891,1.0910896
44.285475,24.285684,1.6999989,1.8235218,1.0478719
44.285475,25.71422,1.6999989,1.7222173,1.0086942
44.285475,27.142757,1.6999989,1.6315762,0.97298424
44.285475,28.571293,1.6999989,1.549999,0.94027562
44.285475,29.999829,1.6999989,1.4761909,0.91018411
47.142586,10.000321,1.6999989,4.7141073,1.9737882
47.142586,11.428857,1.6999989,4.1248731,1.8056821
47.142586,12.857393,1.6999989,3.6665741,1.6693262
47.142586,14.28593,1.6999989,3.2999312,1.5561
47.142586,15.714466,1.6999989,2.9999483,1.4603045
47.142586,17.143002,1.6999989,2.7499609,1.3780085
47.142586,18.571539,1.6999989,2.5384319,1.3064052
47.142586,20.000075,1.6999989,2.3571204,1.2434321
47.142586,21.428611,1.6999989,2.1999832,1.187537
47.142586,22.857148,1.6999989,2.0624877,1.1375272
47.142586,24.285684,1.6999989,1.9411677,1.0924702
47.142586,25.71422,1.6999989,1.8333274,1.0516251
47.142586,27.142757,1.6999989,1.7368385,1.0143952
47.142586,28.571293,1.6999989,1.6499983,0.98029451
47.142586,29.999829,1.6999989,1.5714285,0.94892228
49.999696,10.000321,1.6999989,4.9998092,2.0527522
49.999696,11.428857,1.6999989,4.374864,1.8779208
49.999696,12.857393,1.6999989,3.8887894,1.7361098
49.999696,14.28593,1.6999989,3.4999259,1.6183538
49.999696,15.714466,1.6999989,3.1817623,1.5187259
49.999696,17.143002,1.6999989,2.9166242,1.4331376
49.999696,18.571539,1.6999989,2.6922753,1.3586697
49.999696,20.000075,1.6999989,2.4999754,1.2931773
49.999696,21.428611,1.6999989,2.3333148,1.235046
49.999696,22.857148,1.6999989,2.1874862,1.1830355
49.999696,24.285684,1.6999989,2.0588136,1.1361759
49.999696,25.71422,1.6999989,1.9444376,1.0936967
49.999696,27.142757,1.6999989,1.8421009,1.0549774
49.999696,28.571293,1.6999989,1.7499977,1.0195125
49.999696,29.999829,1.6999989,1.666666,0.98688516
